x,y,z,ux,uy,uz,?x,?y,?z
10,0,0,-3.45983e-15,-5.39478e-28,-9.05599e-16,3.03218e-29,-3.90561e-15,1.32888e-29
9.77667,-0.833333,0,-3.85994e-15,-3.07439e-16,-8.29319e-17,-1.1097e-15,-4.14067e-15,-1.83552e-17
9.55333,-1.66667,0,-4.40863e-15,4.07188e-16,3.24587e-16,-1.21819e-15,-4.54547e-15,-1.06912e-17
9.33,-2.5,0,-4.49564e-15,1.20515e-15,4.2301e-16,-1.26687e-15,-4.72714e-15,-1.40662e-21
9.10667,-3.33333,0,-4.0217e-15,1.85276e-15,3.24508e-16,-1.21834e-15,-4.54604e-15,1.06868e-17
8.88333,-4.16667,0,-3.18966e-15,2.19727e-15,-8.31098e-17,-1.10998e-15,-4.14172e-15,1.83473e-17
8.66,-5,0,-2.99704e-15,1.73075e-15,-9.05871e-16,-1.95348e-15,-3.3834e-15,-1.59711e-21
8.05,-5.61,0,-3.497e-15,1.66407e-15,-8.31797e-17,-3.03186e-15,-3.03186e-15,-1.83432e-17
7.44,-6.22,0,-3.61468e-15,2.55678e-15,3.24371e-16,-3.32791e-15,-3.32791e-15,-1.06859e-17
6.83,-6.83,0,-3.29099e-15,3.29099e-15,4.22834e-16,-3.46065e-15,-3.46065e-15,-9.24446e-31
6.22,-7.44,0,-2.55678e-15,3.61468e-15,3.24371e-16,-3.32791e-15,-3.32791e-15,1.06859e-17
5.61,-8.05,0,-1.66407e-15,3.497e-15,-8.31797e-17,-3.03186e-15,-3.03186e-15,1.83432e-17
5,-8.66,0,-1.73075e-15,2.99704e-15,-9.05871e-16,-3.3834e-15,-1.95348e-15,1.59711e-21
4.16667,-8.88333,0,-2.19727e-15,3.18966e-15,-8.31098e-17,-4.14172e-15,-1.10998e-15,-1.83473e-17
3.33333,-9.10667,0,-1.85276e-15,4.0217e-15,3.24508e-16,-4.54604e-15,-1.21834e-15,-1.06868e-17
2.5,-9.33,0,-1.20515e-15,4.49564e-15,4.2301e-16,-4.72714e-15,-1.26687e-15,1.40662e-21
1.66667,-9.55333,0,-4.07188e-16,4.40863e-15,3.24587e-16,-4.54547e-15,-1.21819e-15,1.06912e-17
0.833333,-9.77667,0,3.07439e-16,3.85994e-15,-8.29319e-17,-4.14067e-15,-1.1097e-15,1.83552e-17
0,-10,0,1.31569e-28,3.45983e-15,-9.05599e-16,-3.90561e-15,-1.4976e-30,2.85394e-30
-0.833333,-9.77667,0,-3.07439e-16,3.85994e-15,-8.29319e-17,-4.14067e-15,1.1097e-15,-1.83552e-17
-1.66667,-9.55333,0,4.07188e-16,4.40863e-15,3.24587e-16,-4.54547e-15,1.21819e-15,-1.06912e-17
-2.5,-9.33,0,1.20515e-15,4.49564e-15,4.2301e-16,-4.72714e-15,1.26687e-15,-1.40662e-21
-3.33333,-9.10667,0,1.85276e-15,4.0217e-15,3.24508e-16,-4.54604e-15,1.21834e-15,1.06868e-17
-4.16667,-8.88333,0,2.19727e-15,3.18966e-15,-8.31098e-17,-4.14172e-15,1.10998e-15,1.83473e-17
-5,-8.66,0,1.73075e-15,2.99704e-15,-9.05871e-16,-3.3834e-15,1.95348e-15,-1.59711e-21
-5.61,-8.05,0,1.66407e-15,3.497e-15,-8.31797e-17,-3.03186e-15,3.03186e-15,-1.83432e-17
-6.22,-7.44,0,2.55678e-15,3.61468e-15,3.24371e-16,-3.32791e-15,3.32791e-15,-1.06859e-17
-6.83,-6.83,0,3.29099e-15,3.29099e-15,4.22834e-16,-3.46065e-15,3.46065e-15,1.39283e-30
-7.44,-6.22,0,3.61468e-15,2.55678e-15,3.24371e-16,-3.32791e-15,3.32791e-15,1.06859e-17
-8.05,-5.61,0,3.497e-15,1.66407e-15,-8.31797e-17,-3.03186e-15,3.03186e-15,1.83432e-17
