x,y,z,mhh,mvv,mhv
0,0.238095,0,287.532,-702.081,515.984
0,0.714286,0,-1977.86,-193.306,-1436.29
0,1.19048,0,-2202.25,1401.79,1012.66
0,1.66667,0,-2101.11,-3621.27,-673.318
0,2.14286,0,-2397.62,2829.01,-247.54
0,2.61905,0,-1691.87,-2956.29,275.428
0,3.09524,0,-2078.62,2099.01,-393.134
0,3.57143,0,-2569.63,-1807.25,1424.64
0,4.04762,0,-2099.82,-2109.18,-1718.27
0,4.52381,0,-2094.59,3480.7,772.03
0,5,0,-2041.48,-4820.86,1.97963e-09
0,5.47619,0,-2094.59,3480.7,-772.03
0,5.95238,0,-2099.82,-2109.18,1718.27
0,6.42857,0,-2569.63,-1807.25,-1424.64
0,6.90476,0,-2078.62,2099.01,393.134
0,7.38095,0,-1691.87,-2956.29,-275.428
0,7.85714,0,-2397.62,2829.01,247.54
0,8.33333,0,-2101.11,-3621.27,673.318
0,8.80952,0,-2202.25,1401.79,-1012.66
0,9.28571,0,-1977.86,-193.306,1436.29
0,9.7619,0,287.532,-702.081,-515.984
0.238095,10,0,287.532,-702.081,515.984
0.714286,10,0,-1977.86,-193.306,-1436.29
1.19048,10,0,-2202.25,1401.79,1012.66
1.66667,10,0,-2101.11,-3621.27,-673.318
2.14286,10,0,-2397.62,2829.01,-247.54
2.61905,10,0,-1691.87,-2956.29,275.428
3.09524,10,0,-2078.62,2099.01,-393.134
3.57143,10,0,-2569.63,-1807.25,1424.64
4.04762,10,0,-2099.82,-2109.18,-1718.27
4.52381,10,0,-2094.59,3480.7,772.03
5,10,0,-2041.48,-4820.86,1.45462e-09
5.47619,10,0,-2094.59,3480.7,-772.03
5.95238,10,0,-2099.82,-2109.18,1718.27
6.42857,10,0,-2569.63,-1807.25,-1424.64
6.90476,10,0,-2078.62,2099.01,393.134
7.38095,10,0,-1691.87,-2956.29,-275.428
7.85714,10,0,-2397.62,2829.01,247.54
8.33333,10,0,-2101.11,-3621.27,673.318
8.80952,10,0,-2202.25,1401.79,-1012.66
9.28571,10,0,-1977.86,-193.306,1436.29
9.7619,10,0,287.532,-702.081,-515.984
10,9.7619,0,287.532,-702.081,515.984
10,9.28571,0,-1977.86,-193.306,-1436.29
10,8.80952,0,-2202.25,1401.79,1012.66
10,8.33333,0,-2101.11,-3621.27,-673.318
10,7.85714,0,-2397.62,2829.01,-247.54
10,7.38095,0,-1691.87,-2956.29,275.428
10,6.90476,0,-2078.62,2099.01,-393.134
10,6.42857,0,-2569.63,-1807.25,1424.64
10,5.95238,0,-2099.82,-2109.18,-1718.27
10,5.47619,0,-2094.59,3480.7,772.03
10,5,0,-2041.48,-4820.86,3.79896e-09
10,4.52381,0,-2094.59,3480.7,-772.03
10,4.04762,0,-2099.82,-2109.18,1718.27
10,3.57143,0,-2569.63,-1807.25,-1424.64
10,3.09524,0,-2078.62,2099.01,393.134
10,2.61905,0,-1691.87,-2956.29,-275.428
10,2.14286,0,-2397.62,2829.01,247.54
10,1.66667,0,-2101.11,-3621.27,673.318
10,1.19048,0,-2202.25,1401.79,-1012.66
10,0.714286,0,-1977.86,-193.306,1436.29
10,0.238095,0,287.532,-702.081,-515.984
9.7619,0,0,287.532,-702.081,515.984
9.28571,0,0,-1977.86,-193.306,-1436.29
8.80952,0,0,-2202.25,1401.79,1012.66
8.33333,0,0,-2101.11,-3621.27,-673.318
7.85714,0,0,-2397.62,2829.01,-247.54
7.38095,0,0,-1691.87,-2956.29,275.428
6.90476,0,0,-2078.62,2099.01,-393.134
6.42857,0,0,-2569.63,-1807.25,1424.64
5.95238,0,0,-2099.82,-2109.18,-1718.27
5.47619,0,0,-2094.59,3480.7,772.03
5,0,0,-2041.48,-4820.86,3.70119e-09
4.52381,0,0,-2094.59,3480.7,-772.03
4.04762,0,0,-2099.82,-2109.18,1718.27
3.57143,0,0,-2569.63,-1807.25,-1424.64
3.09524,0,0,-2078.62,2099.01,393.134
2.61905,0,0,-1691.87,-2956.29,-275.428
2.14286,0,0,-2397.62,2829.01,247.54
1.66667,0,0,-2101.11,-3621.27,673.318
1.19048,0,0,-2202.25,1401.79,-1012.66
0.714286,0,0,-1977.86,-193.306,1436.29
0.238095,0,0,287.532,-702.081,-515.984
0,0.238095,0.487805,50.3159,-2506.01,544.414
0,0.714286,0.487805,3838.62,1628.7,-1351.82
0,1.19048,0.487805,5382.47,7142.41,1188.54
0,1.66667,0.487805,1189.93,-10335.4,-631.02
0,2.14286,0.487805,7549.64,13887.2,326.835
0,2.61905,0.487805,1312.65,-10580.6,1027.61
0,3.09524,0.487805,6172.46,7652.17,-1919.73
0,3.57143,0.487805,3811.07,561.075,1099.08
0,4.04762,0.487805,2491.94,-5666.47,-394.457
0,4.52381,0.487805,7382.8,12365,489.049
0,5,0.487805,637.496,-12495.8,-2.35354e-09
0,5.47619,0.487805,7382.8,12365,-489.049
0,5.95238,0.487805,2491.94,-5666.47,394.457
0,6.42857,0.487805,3811.07,561.075,-1099.08
0,6.90476,0.487805,6172.46,7652.17,1919.73
0,7.38095,0.487805,1312.65,-10580.6,-1027.61
0,7.85714,0.487805,7549.64,13887.2,-326.835
0,8.33333,0.487805,1189.93,-10335.4,631.02
0,8.80952,0.487805,5382.47,7142.41,-1188.54
0,9.28571,0.487805,3838.62,1628.7,1351.82
0,9.7619,0.487805,50.3159,-2506.01,-544.414
0.238095,10,0.487805,50.3159,-2506.01,544.414
0.714286,10,0.487805,3838.62,1628.7,-1351.82
1.19048,10,0.487805,5382.47,7142.41,1188.54
1.66667,10,0.487805,1189.93,-10335.4,-631.02
2.14286,10,0.487805,7549.64,13887.2,326.835
